"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Signals Opensearch leader process and checks recovery + re-election.","0","test_sigstop_opensearch_process_cluster_https","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Signals OSD leader process and checks recovery + re-election.","95562","test_signal_dashboard_process_cluster[SIGSTOP]","tests.integration.ha","2026-01-29","broken","2026-01-29","","test_process_interrupt","",""
"","184327","test_log_level_change","tests.integration","2026-01-29","passed","2026-01-29","","test_charm","",""
"Tests that the charm deploys safely","394074","test_build_and_deploy","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_network_cut","",""
"","145686","test_network_cut_no_ip_change_leader_https","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_network_cut","",""
"","104897","test_cos_relations","tests.integration","2026-01-29","passed","2026-01-29","","test_charm","",""
"","421102","test_network_cut_no_ip_change_application_https","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_network_cut","",""
"Signals Opensearch leader process and checks recovery + re-election.","0","test_signal_opensearch_process_cluster_https[SIGTERM]","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Signals OSD leader process and checks recovery + re-election.","0","test_signal_dashboard_process_cluster_https[SIGTERM]","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Deploying all charms required for the tests, and wait for their complete setup to be done.","300564","test_build_and_deploy","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_scaling","",""
"","0","test_in_place_upgrade_http","tests.integration","2026-01-29","skipped","2026-01-29","","test_upgrade","",""
"Signals OSD leader process and checks recovery + re-election.","0","test_signal_dashboard_process_leader_https[SIGTERM]","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Not a real test but a separate stage to start TLS testing","0","test_set_tls","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Testing that scaling up from zero units using TLS works.","358810","test_horizontal_scale_up_from_zero_https","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_scaling","",""
"Signals Opensearch leader process and checks recovery + re-election.","0","test_sigstop_opensearch_process_leader","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Signals OSD leader process and checks recovery + re-election.","0","test_signal_opensearch_process_leader_https[SIGKILL]","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Deploy OpenSearch and OpenSearch Dashboards but don't wait for completion.","7287","test_deploy","tests.integration","2026-01-29","passed","2026-01-29","","test_oauth","",""
"Test HTTPS access to each dashboard unit.","863468","test_dashboard_status_changes","tests.integration","2026-01-29","passed","2026-01-29","","test_charm","",""
"Signals Opensearch leader process and checks recovery + re-election.","0","test_sigstop_opensearch_process_leader_https","tests.integration.ha","2026-01-29","skipped","2026-01-29","","test_process_interrupt","",""
"Testing that decreasing units keeps functionality.","38849","test_horizontal_scale_down_http","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_scaling","",""
"This test shouldn't be separate but a native continuation of the previous one.

    Should be only split as long as it's not enabled.
    ","0","test_restore_opensearch_restores_osd","tests.integration","2026-01-29","skipped","2026-01-29","","test_charm","",""
"Build and deploy OpenSearch Dashboards.

    For this test, we will create a machine in multiple spaces and inject
    the a record into /etc/hosts, as follows:
        127.0.1.1  <fqdn>

    More information: gh:canonical/opensearch-dashboards-operator#121
    ","611032","test_build_and_deploy","tests.integration.spaces","2026-01-29","passed","2026-01-29","","test_wrong_etc_hosts","",""
"Establish all the required relations.

    Connects OpenSearch, OpenSearch Dashboards and identity platform (cross-model).
    ","190524","test_setup_relations","tests.integration","2026-01-29","passed","2026-01-29","","test_oauth","",""
"Signals Opensearch leader process and checks recovery + re-election.","115450","test_signal_opensearch_process_cluster[SIGTERM]","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_process_interrupt","",""
"Testing that newly added units are functional.","456538","test_horizontal_scale_up_http","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_scaling","",""
"","748531","test_network_cut_ip_change_application_https","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_network_cut","",""
"Signals OSD leader process and checks recovery + re-election.","98867","test_signal_dashboard_process_leader[SIGSTOP]","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_process_interrupt","",""
"Deploying all charms required for the tests, and wait for their complete setup to be done.","1120381","test_build_and_deploy","tests.integration","2026-01-29","broken","2026-01-29","","test_upgrade","",""
"","806833","test_network_no_ip_change_application_http","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_network_cut","",""
"Test HTTPS access to each dashboard unit.","0","test_switch_tls_on","tests.integration","2026-01-29","skipped","2026-01-29","","test_upgrade","",""
"Testing that scaling down to 0 units is possible.","3658","test_horizontal_scale_down_to_zero_http","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_scaling","",""
"Testing that scaling down to 0 units is possible.","5223","test_horizontal_scale_down_to_zero_https","tests.integration.ha","2026-01-29","passed","2026-01-29","","test_scaling","",""
"Deploying all charms required for the tests, and wait for their complete setup to be done.","694655","test_build_and_deploy","tests.integration","2026-01-29","passed","2026-01-29","","test_charm","",""
